,ChemicalName,ChemicalDescription,Wiki Link,PrimaryCategory,ProductName
0,"1,4-Dioxane",,,"Bath Products,Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ,Bath Products,Bath Products,Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Hair Care Products (non-coloring),Bath Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Bath Products,Hair Care Products (non-coloring),Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products","ALOE VERA BODYWASH,ALOE VERA CONC. BODY WASH,ALOE VERA CONC. SHAMPOO,ALOE VERA SHAMPOO,AWAPUHI CONC. SHAMPOO,BODY ECLIPSE SHAMPOO,CITRUS NECTAR BODY WASH,Curl Lock Conditioner,Curl Lock Shampoo,EGF Cellular Activator,EUCALYPTUS BODY WASH,FRESH PEAR HAND AND BODY SOAP,Facial Cleanser,HEMPZ TREATS GINGERBREAD COOKIE DELICIOUS BODY LOTION,HONEY ALMOND SHAMPOO,Harmon  Face Values Brazilian Keratin Shampoo 21oz (w/pump),Harmon Face Values Argan Oil Conditioner 21oz  (w/pump),Harmon Face Values Argan Oil Shampoo 21oz (w/pump),Harmon Face Values Brazilian  Keratin 14 Days Straightening Treatment 4oz (boxed),Harmon Face Values Brazilian Keratin Conditioner 21oz (w/pump),Harmon Face Values Coconut Milk Nourishing Conditioner 21oz (w/pump),Harmon Face Values Coconut Milk Nourishing Shampoo 21oz (w/pump),Harmon Face Values Swim Repair Chlorine Removal Shampoo with Argan Oil 12oz,Harmon Face Values Swim Repair Conditioner with Argan Oil 12oz,Hydrate Conditioner,Hydrate Shampoo,Intensity Conditioning Therapy,Intensity Conditioning Treatment,Interrupt Texturizing Clay,JABONCILLO CONC. BODY WASH,Jaboncillo Body Wash,Moisturizing Conditioner,Moisturizing Shampoo,OCAEN BREEZE SHAMPOO,OCEAN BREEZE BODY WASH,OCEAN BREEZE CONC. SHAMPOO,PALA SPA BODY WASH,PALA SPA SHAMPOO,PAPAYA NECTAR BODY WASH,PAPAYA NECTAR CONC. BODY WASH,SPA REFRESH BATH GEL,SPA REFRESH SHAMPOO,SPORT FRESH BODY WASH,SPORT FRESH SHAMPOO,Texture Cream,Texture Cream Casual Styler,Texturizing Clay,Thickening Shampoo + Conditioner,VANILLA GINGER,VANILLA GINGER BODY WASH"
1,"2,2-Bis(bromomethyl)-1,3-propanediol",,,"Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ",MOCARA serum ingredients
2,"2,4-Hexadienal (89% trans, trans isomer; 11% cis, trans isomer)",,,"Skin Care Products ,Skin Care Products ,Sun-Related Products,Fragrances,Fragrances,Fragrances,Fragrances,Fragrances,Fragrances","Best of Skintentions,Halston Natural Spray Cologne,Halston Perfume,Halston Z-14 Natural Spray Cologne,Red Giorgio Beverly Hills Extraordinary Eau de Toilette Spray,Red Giorgio Beverly Hills Extraordinary Parfum"
3,2-Propyleneacrolein,,,Makeup Products (non-permanent),Makeup Balancer No.1
4,Acetaldehyde,,,"Makeup Products (non-permanent),Skin Care Products ,Bath Products,Fragrances,Fragrances,Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Makeup Products (non-permanent),Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Fragrances,Skin Care Products ,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Fragrances,Fragrances,Skin Care Products ,Skin Care Products ,Bath Products,Fragrances,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring)","Anti-Aging Eye and Lip Perfection a Porter,Badgley Mischka Glamorous Bath and Shower Gel,Badgley Mischka Glamorous Body Lotion,Badgley Mishka Glamorous Body Cream,Body Butter Apricot Scrub Bodywash,Curl Lock Conditioner,Curl Lock Shampoo,Delicious Lip Gloss Plump lip gloss immediate extra volume,Elizabeth Arden Peel and Reveal Revitalizing Treatment,Hydrate Conditioner,Intensity Conditioning Therapy,Interrupt Texturizing Clay,Jewel Alfred Sung Luxorious Body Lotion,Jewel Alfred Sung Luxorious Hand Cream,L'BEL COULEUR LUXE RESPLENDISANT XP FPS 15/ Ultra-Sensuous Volume Liquid Lip Color,Resplendisant XP ultra sensuous volume liquid lip color,Rouge Volumesse maximum volume effect lipstick SPF 21,Shi Alfred Sung Dusting Powder,Shi Alfred Sung Eau de Parfum,Shi Alfred Sung Moisture Balance Body Lotion,Shi Alfred Sung Moisture Balance Hand Cream,Shi Alfred Sung Moisture Balance Shower Gel,Shi Alfred Sung Parfum,Texture Cream,Texture Cream Casual Styler,Texturizing Clay,The Cream"
5,"Acetic acid, retinyl ester",,,"Skin Care Products ,Skin Care Products ,Skin Care Products ","Rejuvenating Complex,Renewal Cream,Tri-Retinol Complex ES"
6,Acetylsalicylic acid,,,Shaving Products,In-Grown Hair and Razor Bump Creme
7,Acrylamide,,,"Skin Care Products ,Hair Care Products (non-coloring),Nail Products,Skin Care Products ","Horse Chestnut Varicose Spider Veins Cream,Moisturizing Shampoo,Quicken,i-LIFT CONTOUR CONCENTRATE"
8,All-trans retinoic acid,,,"Bath Products,Skin Care Products ,Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Sun-Related Products,Hair Care Products (non-coloring)","GRAPEFRUIT BODY WASH,POMEGRANATE BODY LOTION,POMEGRANATE BODY WASH,Sea Blast Shampoo,Serum,Sultry,Titanium Self Tanner,Web"
9,"Aloe vera, non-decolorized whole leaf extract",,,"Skin Care Products ,Skin Care Products ,Skin Care Products ,Makeup Products (non-permanent)","Essential Facial Moisturizer,Intensive Renewal Serum,Nourishing Eye Cream,Renewed Hope in a Jar Complete Concealer"
