,ChemicalName,Chemical_Description,Web_Link,PrimaryCategory,ProductName
0,"1,4-Dioxane",,,"Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ,Skin Care Products ,Bath Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Hair Care Products (non-coloring),Bath Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Bath Products,Hair Care Products (non-coloring),Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ","Hydrate Shampoo,Hydrate Shampoo,Hydrate Conditioner,Hydrate Conditioner,Curl Lock Shampoo,Curl Lock Shampoo,Curl Lock Shampoo,Curl Lock Conditioner,Interrupt Texturizing Clay,Texture Cream Casual Styler,Intensity Conditioning Therapy,Interrupt Texturizing Clay,Texturizing Clay,Texture Cream,Intensity Conditioning Treatment,HEMPZ TREATS GINGERBREAD COOKIE DELICIOUS BODY LOTION,HEMPZ TREATS GINGERBREAD COOKIE DELICIOUS BODY LOTION,HEMPZ TREATS GINGERBREAD COOKIE DELICIOUS BODY LOTION,Jaboncillo Body Wash,HONEY ALMOND SHAMPOO,PAPAYA NECTAR BODY WASH,PAPAYA NECTAR CONC. BODY WASH,SPA REFRESH SHAMPOO,SPA REFRESH BATH GEL,OCEAN BREEZE BODY WASH,OCAEN BREEZE SHAMPOO,OCEAN BREEZE CONC. SHAMPOO,SPORT FRESH SHAMPOO,SPORT FRESH SHAMPOO,SPORT FRESH BODY WASH,ALOE VERA BODYWASH,AWAPUHI CONC. SHAMPOO,ALOE VERA CONC. BODY WASH,JABONCILLO CONC. BODY WASH,ALOE VERA SHAMPOO,ALOE VERA CONC. SHAMPOO,FRESH PEAR HAND AND BODY SOAP,BODY ECLIPSE SHAMPOO,EUCALYPTUS BODY WASH,VANILLA GINGER,VANILLA GINGER BODY WASH,CITRUS NECTAR BODY WASH,PALA SPA SHAMPOO,PALA SPA BODY WASH,Thickening Shampoo + Conditioner,Facial Cleanser,Moisturizing Shampoo,Moisturizing Conditioner,Harmon Face Values Swim Repair Conditioner with Argan Oil 12oz,Harmon Face Values Swim Repair Chlorine Removal Shampoo with Argan Oil 12oz,Harmon Face Values Argan Oil Conditioner 21oz  (w/pump),Harmon Face Values Argan Oil Shampoo 21oz (w/pump),Harmon Face Values Brazilian  Keratin 14 Days Straightening Treatment 4oz (boxed),Harmon Face Values Brazilian Keratin Conditioner 21oz (w/pump),Harmon  Face Values Brazilian Keratin Shampoo 21oz (w/pump),Harmon Face Values Coconut Milk Nourishing Conditioner 21oz (w/pump),Harmon Face Values Coconut Milk Nourishing Shampoo 21oz (w/pump),EGF Cellular Activator,EGF Cellular Activator"
1,"2,2-Bis(bromomethyl)-1,3-propanediol",,,"Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ","MOCARA serum ingredients,MOCARA serum ingredients,MOCARA serum ingredients,MOCARA serum ingredients"
2,"2,4-Hexadienal (89% trans, trans isomer; 11% cis, trans isomer)",,,"Skin Care Products ,Skin Care Products ,Sun-Related Products,Fragrances,Fragrances,Fragrances,Fragrances,Fragrances,Fragrances","Best of Skintentions,Best of Skintentions,Best of Skintentions,Halston Natural Spray Cologne,Halston Natural Spray Cologne,Halston Perfume,Halston Z-14 Natural Spray Cologne,Red Giorgio Beverly Hills Extraordinary Eau de Toilette Spray,Red Giorgio Beverly Hills Extraordinary Parfum"
3,2-Propyleneacrolein,,,Makeup Products (non-permanent),Makeup Balancer No.1
4,Acetaldehyde,,,"Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Fragrances,Fragrances,Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Fragrances,Skin Care Products ,Fragrances,Fragrances,Skin Care Products ,Skin Care Products ,Bath Products,Bath Products,Fragrances,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ","The Cream,Hydrate Conditioner,Hydrate Conditioner,Curl Lock Shampoo,Curl Lock Shampoo,Curl Lock Conditioner,Interrupt Texturizing Clay,Texture Cream Casual Styler,Intensity Conditioning Therapy,Badgley Mischka Glamorous Bath and Shower Gel,Badgley Mischka Glamorous Body Lotion,Badgley Mishka Glamorous Body Cream,Elizabeth Arden Peel and Reveal Revitalizing Treatment,Interrupt Texturizing Clay,Texturizing Clay,Texture Cream,Jewel Alfred Sung Luxorious Body Lotion,Jewel Alfred Sung Luxorious Hand Cream,Shi Alfred Sung Dusting Powder,Shi Alfred Sung Eau de Parfum,Shi Alfred Sung Moisture Balance Body Lotion,Shi Alfred Sung Moisture Balance Hand Cream,Shi Alfred Sung Moisture Balance Shower Gel,Body Butter Apricot Scrub Bodywash,Shi Alfred Sung Parfum,Delicious Lip Gloss Plump lip gloss immediate extra volume,Resplendisant XP ultra sensuous volume liquid lip color,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,L'BEL COULEUR LUXE RESPLENDISANT XP FPS 15/ Ultra-Sensuous Volume Liquid Lip Color,Anti-Aging Eye and Lip Perfection a Porter,Anti-Aging Eye and Lip Perfection a Porter"
5,"Acetic acid, retinyl ester","Concentrated acetic acid is corrosive to skin. These burns or blisters may not appear until hours after exposure. Prolonged inhalation exposure (eight hours) to acetic acid vapours at 10 ppm can produce some irritation of eyes, nose, and throat; at 100 ppm marked lung irritation and possible damage to lungs, eyes, and skin may result. Vapour concentrations of 1,000 ppm cause marked irritation of eyes, nose and upper respiratory tract and cannot be tolerated. These predictions were based on animal experiments and industrial exposure.",https://en.wikipedia.org/wiki/Acetic_acid,"Skin Care Products ,Skin Care Products ,Skin Care Products ","Renewal Cream,Rejuvenating Complex,Tri-Retinol Complex ES"
6,Acetylsalicylic acid,,,Shaving Products,In-Grown Hair and Razor Bump Creme
7,Acrylamide,,,"Nail Products,Skin Care Products ,Hair Care Products (non-coloring),Skin Care Products ","Quicken,i-LIFT CONTOUR CONCENTRATE,Moisturizing Shampoo,Horse Chestnut Varicose Spider Veins Cream"
8,All-trans retinoic acid,,,"Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Sun-Related Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Skin Care Products ","Serum,Sultry,Web,Titanium Self Tanner,Sea Blast Shampoo,GRAPEFRUIT BODY WASH,POMEGRANATE BODY WASH,POMEGRANATE BODY LOTION"
9,"Aloe vera, non-decolorized whole leaf extract",,,"Makeup Products (non-permanent),Skin Care Products ,Skin Care Products ,Skin Care Products ","Renewed Hope in a Jar Complete Concealer,Nourishing Eye Cream,Essential Facial Moisturizer,Intensive Renewal Serum"
