ProductName,BrandName,ChemicalCount,DiscontinuedDate,ChemicalName,Discontinued
""" ROUGE DIOR ULTRA CARE LIQUID Flower Oil Liquid Lipstick Ultra  Weightless Wear Petal Velvet Finish",Parfums Christian Dior,1,0,'Titanium dioxide',1
"""DIOR PRESTIGE LE MICRO-FLUIDE TEINT DE ROSE Micro-Nutritive Skincare Foundation  Revitalizing and Illuminating",Parfums Christian Dior,1,0,'Titanium dioxide',1
"""Hello Flawless!"" SPF 15",Benefit Cosmetics,1,0,'Titanium dioxide',1
"""I'm Glam...Therefore I Am"" -  Glamming Powder I",Benefit Cosmetics,1,0,'Titanium dioxide',1
"""My dream lather"" Soap 'Bar",Odd Molly,1,0,'Titanium dioxide',1
"""My lips love me"" Lip Balm",Odd Molly,1,0,'Titanium dioxide',1
"""un"" cover up",RMS,1,0,'Titanium dioxide',1
#7 Anti-Aging Mask,Dermaquest Anti-aging mask,1,0,'Titanium dioxide',1
#TFNOFILTER Selfie Powders Light Filtering Photo-Enhancing Powder,Too Faced ,1,0,'Titanium dioxide',1
#lostmyslipper,Red Carpet Manicure,1,0,'Titanium dioxide',1
#partygirlproblems,Harmony,2,0,"'Titanium dioxide', 'Silica, crystalline (airborne particles of respirable size)'",1
(ANEW BEAUTY) AGE- TRANSFORMING CONCEALER SPF 15- NATURAL FAIR,AVON,1,0,'Titanium dioxide',1
(My palette) my blusher 18,Innisfree,1,0,'Titanium dioxide',1
(My palette) my eyeshadow (Shimmer) 40,Innisfree,1,0,'Titanium dioxide',1
(My palette) my eyeshadow (Shimmer) 41,Innisfree,1,0,'Titanium dioxide',1
(My palette) my eyeshadow (glitter) 21,Innisfree,1,0,'Titanium dioxide',1
(My palette) my eyeshadow (glitter) 23,Innisfree,1,0,'Titanium dioxide',1
(My palette) my eyeshadow (glitter) 25,Innisfree,1,0,'Titanium dioxide',1
(P)OUTLINER LIP PENCIL,MARC JACOBS,1,0,'Titanium dioxide',1
(re)Fresh Dry Shampoo,(re)Fresh,1,0,'Ethanol in alcoholic beverages',1
*MAGIC BY PRESCRIPTIVES / ILLUMINATING LIQUID POTION,Prescriptives,1,0,'Titanium dioxide',1
- 8-In-1 Base Coat Lacquer Base Coat,Red Carpet Manicure,2,0,"'Silica, crystalline (airborne particles of respirable size)', 'Titanium dioxide'",1
.Com Soak Off Gel Polish,EzFlow,1,0,'Titanium dioxide',1
0.46Z CUPCAKE LIP GLOSS,DONNA MICHELLE,1,0,'Titanium dioxide',1
0.5Z LIP GLOSS ASMT,DONNA MICHELLE,1,0,'Titanium dioxide',1
00 ALL-IN-ONE-CONCEALER,The Body Shop,1,0,'Titanium dioxide',1
00 FRUITY LIPSTICK,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
00 Foundation SPF 25,The Body Shop,1,07/10/2013,'Titanium dioxide',0
00 LIGHTENING TOUCH UNIVERSAL HIGHLIGHTER,The Body Shop,1,0,'Titanium dioxide',1
001 COLOUR CRUSH SHADE: SUGAR GAZE,The Body Shop,1,0,'Titanium dioxide',1
001 SCANDINAVIAN STEEL EYESHADOW,The Body Shop,1,0,'Titanium dioxide',1
002 COLOUR CRUSH SHADE: DAZZLING SAND,The Body Shop ,1,0,'Titanium dioxide',1
005 COLOUR CRUSH SHADE: STEEL MY HEART,The Body Shop,1,0,'Titanium dioxide',1
005 ZAWAR ZINC EYESHADOW,The Body Shop,1,0,'Titanium dioxide',1
01 & 02 Sun Lustre Bronzer - Spray Design,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 & 02 Sun Lustre Bronzer Shade: Radiant Blush,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 ALL-IN-ONE CHEEK COLOUR SHADE: MACAROON,The Body Shop,1,0,'Titanium dioxide',1
01 ALL-IN-ONE-CONCEALER,The Body Shop,1,0,'Titanium dioxide',1
01 All In One Face Base,The Body Shop,1,02/10/2014,'Titanium dioxide',0
01 BRILLIANCE POWDER SHADE: SHIMMER BRONZE,The Body Shop,2,07/08/2013,"'Quartz', 'Titanium dioxide'",0
01 BRONZE SHIMMER WAVES,The Body Shop,1,0,'Titanium dioxide',1
01 BRONZING POWDER,The Body Shop,1,05/13/2014,'Quartz',0
01 Blush Shade: Petal,The Body Shop,1,0,'Titanium dioxide',1
01 Blush Trio Shade: Cool Dusk,The Body Shop,1,07/11/2013,'Titanium dioxide',0
01 Bronzer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Brow & Liner Kit: Blonde Auburn,The Body Shop,1,0,'Titanium dioxide',1
01 Brow Definer Shade: Blonde/Auburn,The Body Shop,1,0,'Titanium dioxide',1
01 COLOURGLIDE SHINE LIP COLOUR SHADE: CHEEKY CORAL,The Body Shop,1,0,'Titanium dioxide',1
01 CONCEALER PENCIL,The Body Shop,1,0,'Titanium dioxide',1
01 Cheek Bloom Sahde: Desert Rose,The Body Shop,1,0,'Titanium dioxide',1
01 Cheek Blush Shade: Toast Shimmer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Cheek Colour Shade: Pink Quartz,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Colourglide shine lip colour shade: cheeky coral,The Body Shop,1,0,'Titanium dioxide',1
01 Cream Eye Colour Shade: Starry Silver,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Divide & Multioly Mascara Shade: Black,The Body Shop,1,0,"'Titanium dioxide', 'Triethanolamine'",1
01 Duo Eye Shadow: Khaki Green,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Eye Colour Matte,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Eye Colour Shade: Platinum Shimmer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Eye Definer Shade: Slate,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Eye Lustre Liner Shade: Golden Radiance,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Eye Lustre Pearl Shade: Silvery Blue,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Eye Pencil Shade: Cactus Green,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Eye Shimmer,The Body Shop,1,02/10/2014,'Titanium dioxide',0
01 Eye Trio Shade: Moonlight Lustre (Dark Grey; Lilac; Green),The Body Shop,1,07/10/2013,'Titanium dioxide',0
