Year,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
L'Oreal,0.446685879,-0.368152275,0.158081705,-0.019543974,-0.082120582,0.321284518,0.223137619,-0.102080498,0.036525173,0.104971776,0.245802755
Unilever,0.333786725,-0.394467213,0.345382846,-0.038573508,0.080090384,0.138341732,0.051927302,0.007374345,0.079383655,-0.035450517,0.310205651
Este Lauder Cos.,-0.006361173,-0.271070615,0.487211478,0.663358061,0.36294896,0.062872877,0.237611182,0.009440559,0.135824022,-0.129773362,0.654892264
P&G,0.109501596,-0.185817643,-0.043192437,0.014870726,0.011741359,0.007442416,0.164547613,0.126430992,-0.120624002,0.061521042,0.082876521
Shiseido,0.081397897,-0.151107992,-0.080509975,0.062101712,-0.154260931,-0.243856333,0.137296532,-0.118601355,0.484615385,0.270718232,0.915841584
Johnson & Johnson,-0.013898287,-0.113247863,0.056037556,-0.04653382,0.041160398,0.08519055,0.312503175,0.133509893,-0.022963218,0.132170207,0.197244195
LVMH,,,0.654632972,0.4611371,-0.140995698,0.272555375,-0.021897031,-0.039888889,-0.064508507,0.25094858,0.570347474
L Brands,-0.431547619,-0.49602618,0.794270833,0.5928009,0.208202849,0.169827586,0.313094367,0.416666667,0.100833664,-0.307975009,-0.107142857
Avon,0.140256237,-0.39192399,0.258878505,-0.091041515,-0.414319066,-0.186525102,0.150246305,-0.448527425,-0.564121572,0.247171946,-0.591360691
Henkel,,,0.585045193,0.139240506,-0.070253446,0.390130354,0.516549649,-0.056293628,-0.002158791,0.135175504,0.181077411
Colgate-Palmolive,0.18027918,-0.122526636,0.160331523,-0.028334148,0.132438592,0.118709973,0.206071572,0.060693153,-0.05,0.006924009,0.144609537
Revlon,0.116666667,-0.428093645,1.398907104,-0.448051948,0.465028355,-0.028169014,0.768837803,0.277857143,-0.175042349,0.066945607,-0.270820089
