YEAR,Este Lauder,P&G,Shiseido,Johnson & Johnson,LVMH,L Brand,Avon,Henkel,Colgate-Palmolive,Revlon
2007,-0.006361173,0.109501596,0.081397897,-0.013898287,,-0.431547619,0.140256237,,0.18027918,0.116666667
2008,-0.271070615,-0.185817643,-0.151107992,-0.113247863,,-0.49602618,-0.39192399,,-0.122526636,-0.428093645
2009,0.487211478,-0.043192437,-0.080509975,0.056037556,0.654632972,0.794270833,0.258878505,0.585045193,0.160331523,1.398907104
2010,0.663358061,0.014870726,0.062101712,-0.04653382,0.4611371,0.5928009,-0.091041515,0.139240506,-0.028334148,-0.448051948
2011,0.36294896,0.011741359,-0.154260931,0.041160398,-0.140995698,0.208202849,-0.414319066,-0.070253446,0.132438592,0.465028355
2012,0.062872877,0.007442416,-0.243856333,0.08519055,0.272555375,0.169827586,-0.186525102,0.390130354,0.118709973,-0.028169014
2013,0.237611182,0.164547613,0.137296532,0.312503175,-0.021897031,0.313094367,0.150246305,0.516549649,0.206071572,0.768837803
2014,0.009440559,0.126430992,-0.118601355,0.133509893,-0.039888889,0.416666667,-0.448527425,-0.056293628,0.060693153,0.277857143
2015,0.135824022,-0.120624002,0.484615385,-0.022963218,-0.064508507,0.100833664,-0.564121572,-0.002158791,-0.05,-0.175042349
2016,-0.129773362,0.061521042,0.270718232,0.132170207,0.25094858,-0.307975009,0.247171946,0.135175504,0.006924009,0.066945607
2017,0.654892264,0.082876521,0.915841584,0.197244195,0.570347474,-0.107142857,-0.591360691,0.181077411,0.144609537,-0.270820089
