CDPHId,ProductName,CSFId,CSF,CompanyId,CompanyName,BrandName,PrimaryCategoryId,PrimaryCategory,SubCategoryId,SubCategory,CasId,CasNumber,ChemicalId,ChemicalName,InitialDateReported,MostRecentDateReported,DiscontinuedDate,Year,ChemicalCreatedAt,ChemicalUpdatedAt,ChemicalDateRemoved,ChemicalCount
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),773,,2324,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",9/2/09,9/19/13,1/1/10,2006,9/30/09,9/19/13,1/1/10,0
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,732,,370,Coffee,9/2/09,9/19/13,1/1/10,2006,9/2/09,9/19/13,1/1/10,0
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,377,Titanium dioxide,9/2/09,9/19/13,1/1/10,2006,9/2/09,9/19/13,1/1/10,0
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,776,,378,"Silica, crystalline (airborne particles of respirable size)",9/2/09,9/19/13,1/1/10,2006,9/2/09,9/19/13,1/1/10,0
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,773,,443,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",9/2/09,9/19/13,1/1/10,2006,9/3/09,9/19/13,1/1/10,0
349,Body Lotion SPF-25,1559,Tinted,71,"Sunrider Manufacturing, L.P.",Oi-Lin,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,773,,2324,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",9/2/09,9/19/13,1/1/10,2006,9/30/09,9/19/13,1/1/10,0
367,St John Pearl Body Creme,,,72,Romane Fragrances,St. John,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),656,,387,Titanium dioxide,9/2/09,9/2/09,9/2/09,2006,9/2/09,9/2/09,,1
545,Sheer Tint Redness Relief SPF15,,,43,Dermalogica,Dermalogica,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,730,,578,Chromium (hexavalent compounds),9/8/09,4/21/14,11/10/10,2006,9/8/09,9/8/09,,2
545,Sheer Tint Redness Relief SPF15,,,43,Dermalogica,Dermalogica,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,579,Titanium dioxide,9/8/09,4/21/14,11/10/10,2006,9/8/09,9/8/09,,2
549,Concealing Spot Treatment,,,43,Dermalogica,Dermalogica,90,Skin Care Products ,91,Acne Products (making a cosmetic claim),656,13463-67-7,584,Titanium dioxide,9/8/09,4/21/14,11/8/10,2006,9/8/09,9/8/09,,1
